=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
                  Аляска СН-153 В хром/ХДП    Excel

                  Аризона СН-400 В хром/МБ    Excel

              Вермонт СН-151 В хром/ХДП/МБ    Excel

                   Верона К-10 В дерево/МБ    Excel

               Калифорния СН-438 В хром/МБ    Excel
              Калифорния СН-438 В хром/ХДП    Excel

                       Престиж Нептун хром    Excel

                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                Сириус С-102 Гольф пластик    Excel

                        Честер GTS TG хром    Excel

               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                        Модель Источник
          Дэли ch-503 white ch     JSON
                         Тоник     JSON
                    Epik е-277     JSON
                 Астек пвм б/п     JSON
                   Престиж cpt     JSON
                  Престиж люкс     JSON
                   Престиж пвм     JSON
      Самба люкс gtp tg столик     JSON
              Айкью сн-710 н_п     JSON
        Айкью сн-710 н пластик     JSON
         Бремен м-123 алюминий     JSON
  Вермонт сн-151 в хром хдп мб     JSON
          Кайман в топ-ган lux     JSON
      Калифорния в cн-438 хром     JSON
     Канзас м-111 пластик/хром     JSON
    Онтарио м-105 пластик/хром     JSON
Онтарио м-405 н/п пластик/хром     JSON
                    Ройс м-704     JSON
                 Палермо м-702     JSON
                         Изо-2     JSON
                         Изо-3     JSON
                       Клуб 4l     JSON
                       Клуб 4к     JSON
                      Клуб gts     JSON
                          Клуб     JSON
                     Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                    Кресло UTFC Киото М-250            package_width                  -            745               Да
                    Кресло UTFC Киото М-250                    netto                  -           16.7               Да
                    Кресло UTFC Киото М-250           package_height                  -          650.0               Да
                    Кресло UTFC Киото М-250                   volume                  -           0.19               Да
                    Кресло UTFC Киото М-250                   brutto                  -          19.15               Да
                    Кресло UTFC Киото М-250            package_depth                  -          380.0               Да
                     Кресло UTFC Кофу М-231            package_width                  -            620               Да
                     Кресло UTFC Кофу М-231                    netto                  -             10               Да
                     Кресло UTFC Кофу М-231           package_height                  -          600.0               Да
                     Кресло UTFC Кофу М-231                   volume                  -           0.11               Да
                     Кресло UTFC Кофу М-231                   brutto                  -          10.95               Да
                     Кресло UTFC Кофу М-231            package_depth                  -          290.0               Да
                  Кресло UTFC Мориока М-242            package_width                  -            660               Да
                  Кресло UTFC Мориока М-242                    netto                  -           10.4               Да
                  Кресло UTFC Мориока М-242           package_height                  -          590.0               Да
                  Кресло UTFC Мориока М-242                   volume                  -           0.11               Да
                  Кресло UTFC Мориока М-242                   brutto                  -          11.65               Да
                  Кресло UTFC Мориока М-242            package_depth                  -          285.0               Да
                     Кресло UTFC Номи М-317            package_width                  -            720               Да
                     Кресло UTFC Номи М-317                    netto                  -           11.7               Да
                     Кресло UTFC Номи М-317           package_height                  -          645.0               Да
                     Кресло UTFC Номи М-317                   volume                  -           0.16               Да
                     Кресло UTFC Номи М-317                   brutto                  -          13.45               Да
                     Кресло UTFC Номи М-317            package_depth                  -          335.0               Да
                    Кресло UTFC Осака М-201            package_width                  -            630               Да
                    Кресло UTFC Осака М-201                    netto                  -           12.8               Да
                    Кресло UTFC Осака М-201           package_height                  -          630.0               Да
                    Кресло UTFC Осака М-201                   volume                  -           0.15               Да
                    Кресло UTFC Осака М-201                   brutto                  -           14.7               Да
                    Кресло UTFC Осака М-201            package_depth                  -          370.0               Да
                    Кресло UTFC Санда М-207            package_width                  -            840               Да
                    Кресло UTFC Санда М-207                    netto                  -           11.8               Да
                    Кресло UTFC Санда М-207           package_height                  -          650.0               Да
                    Кресло UTFC Санда М-207                   volume                  -           0.16               Да
                    Кресло UTFC Санда М-207                   brutto                  -           13.8               Да
                    Кресло UTFC Санда М-207            package_depth                  -          270.0               Да
                        Альт М-811 BLACK PL            package_width                  -              -               Да
                        Альт М-811 BLACK PL                    netto                  -          10.35               Да
                        Альт М-811 BLACK PL           package_height                  -              -               Да
                        Альт М-811 BLACK PL                   volume                  -              -               Да
                        Альт М-811 BLACK PL                   brutto                  -              -               Да
                        Альт М-811 BLACK PL            package_depth                  -              -               Да
                        Альт М-811 BLACK PL            package_width                624              -               Да
                        Альт М-811 BLACK PL            package_depth                322              -               Да
                        Альт М-811 BLACK PL           package_height                665              -               Да
                        Альт М-811 BLACK PL                   brutto               12,8              -               Да
                        Альт М-811 BLACK PL                   volume               0,13              -               Да
 Астон М-711 с подголовником белый пластик             package_width                  -              -               Да
 Астон М-711 с подголовником белый пластик                     netto                  -          13.15               Да
 Астон М-711 с подголовником белый пластик            package_height                  -              -               Да
 Астон М-711 с подголовником белый пластик                    volume                  -              -               Да
 Астон М-711 с подголовником белый пластик                    brutto                  -           15.6               Да
